enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,1
29725,city_40,0.78,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
666,city_162,0.77,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0
402,city_46,0.76,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
25619,city_61,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
5826,city_21,0.62,Male,No relevent experience,,,,2,,,never,24,0
6588,city_114,0.93,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,18172,Pvt Ltd,>4,18,0
11399,city_13,0.83,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,1
31972,city_159,0.84,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0
19061,city_114,0.93,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0
7041,city_40,0.78,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,72,0
21538,city_100,0.89,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,1
10408,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,0
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,18172,Early Stage Startup,2,206,0
12726,city_114,0.93,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,0
10164,city_114,0.93,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1
24659,city_71,0.88,Male,No relevent experience,no_enrollment,,,3,,,never,106,0
2547,city_114,0.93,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0
13854,city_104,0.92,Male,Has relevent experience,no_enrollment,High School,,4,18172,Pvt Ltd,2,36,0
5590,city_21,0.62,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1
22452,city_21,0.62,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,1
9006,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1
4476,city_101,0.56,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,1
25103,city_83,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,18172,Pvt Ltd,1,21,0
5568,city_101,0.56,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1
2195,city_64,0.67,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0
30533,city_105,0.79,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
1023,city_114,0.93,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0
12253,city_104,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0
25296,city_73,0.75,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,0
18578,city_162,0.77,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1
29975,city_67,0.86,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,0
26516,city_75,0.94,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0
8433,city_100,0.89,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0
5878,city_93,0.87,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0
20970,city_64,0.67,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,0
17271,city_21,0.62,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,1
12731,city_13,0.83,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,18172,Pvt Ltd,1,29,0
10908,city_67,0.86,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,0
22683,city_36,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0
31765,city_67,0.86,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,18172,,1,27,0
28403,city_71,0.88,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,18172,Early Stage Startup,1,86,0
30937,city_57,0.87,Female,No relevent experience,Part time course,Graduate,STEM,<1,18172,Pvt Ltd,2,83,0
29290,city_152,0.70,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,0
19128,city_61,0.91,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,0
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,never,182,0
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1
12081,city_65,0.80,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0
7016,city_65,0.80,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,18172,Pvt Ltd,2,27,1
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0
28627,city_75,0.94,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0
8168,city_136,0.90,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0
10473,city_21,0.62,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0
5220,city_73,0.75,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0
4789,city_67,0.86,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0
